"id","name","code","account_type","reconcile","currency_id","tag_ids"
"py_1_01_01_01","RECAUDACIONES A DEPOSITAR","1.01.01.01","asset_cash","False","base.PYG",""
"py_1_01_01_02","CAJA","1.01.01.02","asset_cash","False","base.PYG",""
"py_1_01_01_03","FONDOS FIJOS","1.01.01.03","asset_cash","False","base.PYG",""
"py_1_01_01_04","BANCOS PYG","1.01.01.04","asset_cash","False","base.PYG",""
"py_1_01_01_05","TRANSFERENCIAS INTERNAS","1.01.01.05","asset_current","False","base.PYG",""
"py_1_01_02_01","INVERSIONES FINANCIERAS","1.01.02.01","asset_current","False","base.PYG",""
"py_1_01_02_02","INVERSIONES EN ENTIDADES VINCULADAS","1.01.02.02","asset_current","False","base.PYG",""
"py_1_01_02_03","OTRAS INVERSIONES","1.01.02.03","asset_current","False","base.PYG",""
"py_1_01_02_04","INTERESES, REGALÍAS Y OTROS RENDIMIENTOS DE INVERSIONES","1.01.02.04","asset_current","False","base.PYG",""
"py_1_01_03_01","DEUDORES POR VENTAS","1.01.03.01","asset_receivable","True","base.PYG",""
"py_1_01_03_02","DEUDORES POR PRÉSTAMOS","1.01.03.02","asset_receivable","True","base.PYG",""
"py_1_01_03_03","CUENTAS A COBRAR A DIRECTORES Y FUNCIONARIOS","1.01.03.03","asset_receivable","True","base.PYG",""
"py_1_01_03_04","CUENTAS A COBRAR A SOCIOS O A ENTIDADES VINCULADAS","1.01.03.04","asset_receivable","True","base.PYG",""
"py_1_01_03_05_01","ANTICIPOS Y RETENCIONES DE IMPUESTO A LA RENTA","1.01.03.05.01","asset_current","False","base.PYG",""
"py_1_01_03_05_02","RETENCIONES DE IVA","1.01.03.05.02","asset_current","False","base.PYG",""
"py_1_01_03_05_03","IVA - CRÉDITO FISCAL","1.01.03.05.03","asset_current","False","base.PYG","tag_iva_credito_fiscal"
"py_1_01_03_05_04","IVA - CRÉDITO FISCAL - RÉGIMEN DE TURISMO","1.01.03.05.04","asset_current","False","base.PYG",""
"py_1_01_03_06_01","ANTICIPOS A PROVEEDORES LOCALES","1.01.03.06.01","asset_prepayments","False","base.PYG",""
"py_1_01_03_06_02","ANTICIPOS A PROVEEDORES DEL EXTERIOR","1.01.03.06.02","asset_prepayments","False","base.PYG",""
"py_1_01_03_99","(-) PREVISIÓN PARA CRÉDITOS DE DUDOSO COBRO","1.01.03.99","asset_cash","False","base.PYG",""
"py_1_01_04_01_01","MERCADERÍAS GRAVADAS POR EL IVA AL 10%","1.01.04.01.01","asset_current","False","base.PYG",""
"py_1_01_04_01_02","MERCADERÍAS GRAVADAS POR EL IVA AL 5%","1.01.04.01.02","asset_current","False","base.PYG",""
"py_1_01_04_01_03","MERCADERÍAS EXENTAS DEL IVA","1.01.04.01.03","asset_current","False","base.PYG",""
"py_1_01_04_02_01","MERCADERÍAS RÉGIMEN DE TURISMO","1.01.04.02.01","asset_current","False","base.PYG",""
"py_1_01_04_02_02","MERCADERÍAS ZONA FRANCA","1.01.04.02.02","asset_current","False","base.PYG",""
"py_1_01_04_02_03","MERCADERÍAS RÉGIMEN DE MAQUILA","1.01.04.02.03","asset_current","False","base.PYG",""
"py_1_01_04_02_04","MERCADERÍAS OTROS REGÍMENES ESPECIALES","1.01.04.02.04","asset_current","False","base.PYG",""
"py_1_01_04_03_01","PRODUCTOS TERMINADOS GRAVADOS POR EL IVA AL 10%","1.01.04.03.01","asset_current","False","base.PYG",""
"py_1_01_04_03_02","PRODUCTOS TERMINADOS GRAVADOS POR EL IVA AL 5%","1.01.04.03.02","asset_current","False","base.PYG",""
"py_1_01_04_03_03","PRODUCTOS TERMINADOS EXENTOS DEL IVA","1.01.04.03.03","asset_current","False","base.PYG",""
"py_1_01_04_04","PRODUCTOS EN PROCESO","1.01.04.04","asset_current","False","base.PYG",""
"py_1_01_04_05","MATERIAS PRIMAS","1.01.04.05","asset_current","False","base.PYG",""
"py_1_01_04_06","MATERIALES, SUMINISTROS Y REPUESTOS","1.01.04.06","asset_current","False","base.PYG",""
"py_1_01_04_07","PRODUCTOS AGRÍCOLAS","1.01.04.07","asset_current","False","base.PYG",""
"py_1_01_04_08","PRODUCTOS FORESTALES","1.01.04.08","asset_current","False","base.PYG",""
"py_1_01_04_09","ACTIVOS BIOLÓGICOS EN PRODUCCIÓN","1.01.04.09","asset_fixed","False","base.PYG",""
"py_1_01_04_10","ACTIVOS BIOLÓGICOS EN DESARROLLO","1.01.04.10","asset_fixed","False","base.PYG",""
"py_1_01_04_11","IMPORTACIONES EN CURSO","1.01.04.11","asset_current","False","base.PYG",""
"py_1_01_04_31","STOCK ENTRANTE","1.01.04.31","asset_current","True","base.PYG",""
"py_1_01_04_32","STOCK SALIENTE","1.01.04.32","asset_current","True","base.PYG",""
"py_1_01_04_99","(-) PREVISIÓN POR DEVALUACIÓN DE INVENTARIOS","1.01.04.99","asset_fixed","False","base.PYG",""
"py_1_01_05_01","ALQUILERES PAGADOS POR ADELANTADO","1.01.05.01","asset_prepayments","False","base.PYG",""
"py_1_01_05_02","SEGUROS A DEVENGAR","1.01.05.02","asset_current","False","base.PYG",""
"py_1_01_06_01","CUENTA","1.01.06.01","asset_current","False","base.PYG",""
"py_1_02_01_01","DEUDORES POR VENTAS","1.02.01.01","asset_receivable","True","base.PYG",""
"py_1_02_01_02","DEUDORES POR PRÉSTAMOS","1.02.01.02","asset_receivable","True","base.PYG",""
"py_1_02_01_03","CUENTAS A COBRAR A DIRECTORES Y FUNCIONARIOS","1.02.01.03","asset_receivable","True","base.PYG",""
"py_1_02_01_04","CUENTAS A COBRAR A SOCIOS O ENTIDADES VINCULADAS","1.02.01.04","asset_receivable","True","base.PYG",""
"py_1_02_01_05","DEUDORES EN GESTIÓN DE COBRO – MOROSOS O SIMILARES","1.02.01.05","asset_non_current","False","base.PYG",""
"py_1_02_01_06","ANTICIPOS A PROVEEDORES","1.02.01.06","asset_prepayments","False","base.PYG",""
"py_1_02_01_07","ANTICIPOS A PROVEEDORES LOCALES","1.02.01.07","asset_prepayments","False","base.PYG",""
"py_1_02_01_08","ANTICIPOS A PROVEEDORES DEL EXTERIOR","1.02.01.08","asset_prepayments","False","base.PYG",""
